author,updated_at,like_count,text,public
@magdaparedes9407,2024-04-18T00:11:01Z,2,que  ermosooooooooooooooooooo    😍😍😍😍😍😍😍😍😍😍😍😍😍🤑🤑🤑🤑😇😇😇😇🥰🥰🥰😄,True
@REYNERIALBERTOGarciaGonzalez,2024-04-17T23:18:00Z,2,Yankee heres imparable cangry,True
@Agustinvelez145,2024-04-17T23:04:45Z,2,TEMAzo,True
@rockonrrolla13ampdps43,2024-04-17T22:58:32Z,2,Eres y serás daddy a fulll bro,True
@canalesrose17,2024-04-17T22:49:40Z,3,"Gracias! 👏👏👏que hermoso testimonio, cosas aún más grandes hará Dios en tu vida! Recompensa a los que en ÉL creen!",True
@leopoldotalavera8195,2024-04-17T22:14:31Z,0,A predicar mandar  mensajes al pueblo de Jesús,True
@leopoldotalavera8195,2024-04-17T22:11:16Z,0,Vamos a verla Jesús primero,True
@leopoldotalavera8195,2024-04-17T22:10:03Z,0,El rey se llama  Jesús cristo no dady yanke,True
@OrlandoEnriqueTrader,2024-04-17T21:37:32Z,1,Bendiciones,True
@marlonpadilla7372,2024-04-17T21:35:44Z,0,"si haz nacido de AGUA Y ESPIRITU, DILE AL MUNDO QUE DEJE DE CONSUMIR TUS MUSICAS QUE INDUCEN LA PERDICION MORARL E ESPIRITUAL... O MEJOR MANDA A CERAR TODOS ESOS CANELES...QUE LA GLORIA DE DIOS BRILLE EN TU CORAZON, PORQUE EL VERDADERO ARREPENTIMIENTO NOS LLEVA A LA OBEDIENCIA AL SANTO DIOS",True
@mormazabalp,2024-04-17T21:18:08Z,2,Dady que Dios te siga usando para que atreves del talento que te dio el creador sigas predicando el evangelio y llegando a todo oido y lengua ..el espiritu santo obra en ti que te siga guiando hermano en cristo ...desde Chile,True
@AinhoaGrajales-gq8tz,2024-04-17T21:16:28Z,1,"EL CAMELLO PASO LA AGUJA! 

EL RICO PUDO DAR UN CAMBIO!!",True
@nohemylopez1279,2024-04-17T21:08:41Z,1,Me encanta ❤,True
@AngelesMayariMoralesCruz,2024-04-17T21:06:29Z,1,❤❤❤ buen tema,True
@claribelfierro5877,2024-04-17T20:31:16Z,3,Dios … usa sus mejores 💪 guerreros . Todos los caminos… se juntan delante de El Creador . Daddy Yankee 🫶🙏🏻🙏🏻🙏🏻,True
@StevenstuarFarfancastillo,2024-04-17T20:18:19Z,1,Amén @Daddy Yankee,True
@carolsanchezderamos5028,2024-04-17T19:46:24Z,0,"La luz y las tinieblas no tienen comunión, espero que su conversión sea genuina y pueda perseverar en este camino, le felicito por la desicion de aceptar a Cristo como Señor y Salvador de su vida, estoy contenta Porque el reino de Dios llegó na su vida, espero que usted sea embajador eficaz  de ese reino, saludos desde Venezuela, PD: antes no lo escuchaba ni permitía que mis hijos  lo hicieran, ahora es diferente.. también espero que sus letras hablen de la palabra de Dios y sus hechos, más que de sus propias experiencias.",True
@edgardosanxhez6334,2024-04-17T19:40:42Z,1,Quien es el productor de esta canción???,True
@IvanCasapia,2024-04-17T19:35:47Z,1,Lo máximo,True
@israelalejandrollancaqueoc3479,2024-04-17T18:54:11Z,0,Sin productora no te sale,True
@sajimlmyt5920,2024-04-17T18:05:04Z,0,"Grande yankee,  pero aun veo simbologia😢",True
@carlosgaray7421,2024-04-17T17:56:01Z,0,Jajajaja como lo dijiste antes yankee la música solo es un negocio,True
@fernandacanteros8601,2024-04-17T17:38:17Z,8,🤗🤗🤗Ya somos varios que entregamos nuestra vida a Jesucristo.Bendito sea daddy.Ytodos los que se arrepienten de sus pecados .La sangre de Jesús nos dabundancia sbundancia,True
@Marzeh_Oficial,2024-04-17T17:28:47Z,2,Puro 🔥 Brother.... bendiciones.,True
@eliasrodriguez3930,2024-04-17T16:59:51Z,2,Uuuu piel de gallina q campeón el mejor the Big boos,True
@marcusbws,2024-04-17T16:48:25Z,0,"""no hay que temer"" y luego se la pasan hablando de temer a dios porque sino castiga...",True
@yohanacampos2262,2024-04-17T16:46:07Z,2,siga sacando temas que hablen de jesus,True
@adriansanchez3251,2024-04-17T16:25:37Z,2,Legendaddy,True
@yennytrujillo5820,2024-04-17T15:48:45Z,3,Diste un gran paso Dios te bendiga siempre,True
@Evid3ntHeavenlysMusicChannel,2024-04-17T14:40:14Z,2,👏🏻🙌🏻❤️,True
@user-zu7tf2ni7x,2024-04-17T14:20:12Z,3,"Ni 2004, 2005, 2006, etc. esta es su mejor version, si, DADDY YANKEE ESTÁ EN SU MEJOR VERSIÓN ❤‍🩹",True
@orietta6969,2024-04-17T13:19:42Z,3,Keep walking in the purpose that God has for you! So glad to see you use the gift God gave you to sing His praises and to evangelize to many. God bless !,True
@user-qe2dr5fx2f,2024-04-17T12:18:08Z,2,"Keep 
Praying
Your ghost closet is BIG",True
@Rawsay-Misticc,2024-04-17T10:19:26Z,1,❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥,True
@user-hr4pe7ly8h,2024-04-17T10:11:12Z,2,"Ninguno va a llevar mi cruz  
Ninguno va a apagar mi luz ✨🔥",True
@Eiden-qw7hd,2024-04-17T09:03:38Z,1,El mejor 👌🏻,True
@AngelVilla-pw1vl,2024-04-17T07:00:11Z,2,Para cuándo desde el bisa,True
@gatoperro4382,2024-04-17T05:34:27Z,2,"Un crack Yankee, te felicito que hayas encontrado el camino correcto, jesús es la luz del mundo, te amo crack que jesús te bendiga",True
@SoyGamerRuco,2024-04-17T04:58:05Z,2,podemos decir que Edgar Dinero se ha convertido al aevangelio!!!,True
@arelytay2341,2024-04-17T03:35:56Z,0,Si está bien que te haya convertido y todo pero debería de vestirse diferente está cantando al Rey de Reyes y dueño de todo ten respeto a eso quitate la gorra y los lentes y los ademanes que no va con eso,True
@SofiaDelacruz-tv2vr,2024-04-17T03:21:56Z,1,Todas las canciones están bonitas,True
@efrainsotelo7836,2024-04-17T03:06:02Z,1,Wow que Clase Letra de esta cancion..... Que Lirica me deja sin Palabras...,True
@SofiaDelacruz-tv2vr,2024-04-17T02:52:49Z,2,Que bonita la canción Daddi. yankee ❤🎉,True
@samueltomo-pr6wz,2024-04-17T02:33:07Z,4,Quiero ver los fans de daddy😊🎉❤,True
@jerssonmontiel5243,2024-04-17T02:10:32Z,0,Ahora va a lucar disque con musica cristiana el hipocrita este jajaja,True
@yolimarmeneses5989,2024-04-17T01:55:56Z,1,Siempre  tenemos  que  creer  en. Dios,True
@puedesuperarte,2024-04-17T01:26:35Z,1,Donde están los que decían que no me iba a salvar ?????? Impresionante esto !!! 💣,True
@luzayala2962,2024-04-17T01:06:33Z,1,Bella amen,True
@puedesuperarte,2024-04-17T00:40:24Z,55,Yo me fui de la iglesia al mundo por escuchar su música en la época de talento de barrio...nunca deje de escucharlo y no salí nunca de la vida fiestera y mundana...pero ahora DECIDO VOLVER A CRISTO...increíble que el que me insto a irme al mundo con su música...ahora me guíe de nuevo a Cristo.,True
@gerardmontes7246,2024-04-17T00:31:15Z,2,Yo se que ya no eres DY eres Ramón Ayala lo único que puedo decir es que para mi seguis y seguirás siendo el mejor de todos los tiempos está cabrón que aún ya retirado suena más cabrón que muchos de la nueva escuela.,True
@EdgarCaceres-tortu,2024-04-17T00:17:16Z,0,Estoy totalmente seguro que la persona que se detuvo a leer este mensaje será exitoso en todo lo que haga ❤,True
@LyonClips,2024-04-16T23:37:16Z,15,"Lo lograste Daddy Yankee, AHORA estás en la cima con JESÚS!!!!",True
@amorpordios7333,2024-04-16T23:06:51Z,2,Bienvenido a Casa❤🎉  Estás son las grandes ligas en ( CRISTO JESÚS) y por aquí a muchos no los estamos viendo! 🫡,True
@olliebmrmanic,2024-04-16T23:05:50Z,1,Go daddy yankee!,True
@MariaQuenallata-pt9ci,2024-04-16T22:55:39Z,1,😮😮😮😮😮🎉🎉🎉,True
@AndrewstevenNavas,2024-04-16T22:13:28Z,2,Hola bro que tal,True
@PopAstelillo,2024-04-16T22:05:06Z,1,ojala que hagas una colaboración con REDIMI2 o ALEX ZURDO o FUNKY,True
@user-hr4pe7ly8h,2024-04-16T21:40:20Z,2,Te amo ❤️❣️❤️,True
@jasminequash,2024-04-16T20:27:31Z,2,Te amo Papi!,True
@KiaraRodriguez820,2024-04-16T19:50:36Z,1,❤❤❤❤,True
@user-tz1cm4nm7g,2024-04-16T19:50:33Z,2,me guta mucho tu musica saludo de Paragauy dios te beniga mucho,True
@josesepulveda6081,2024-04-16T19:44:44Z,2,Yankee te quedo dura. Respect,True
@Bts-et7ud5yu6g,2024-04-16T19:44:41Z,1,Esta hubiera sido una sesión con bizarap hubiera sido un boom,True
@nairobyoteroperez9576,2024-04-16T19:23:44Z,1,"Tremendo me gusto la parte que dice. EL QUE PUSO SU VIDA POR MI HASTA INCLUSO USÓ SU ESPÍRITU PA' LIBERAR AL RECLUSO. 

EL ESTILO CON EL QUE CANTO ESTA PARTE SUENA AL ESTILO DE EMINEM.",True
@Eiden-qw7hd,2024-04-16T18:38:00Z,1,✨,True
@aly1981paiusi,2024-04-16T17:27:07Z,1,Benedizioni dal' Italia🙏,True
@aly1981paiusi,2024-04-16T17:26:40Z,2,"Gloria a Dio,sei stato scelto da Cristo,che lo Spirito Santo ti guida e ti usa per la Sua Gloria 
Dio ti benedica grandemente 🔥",True
@Leydy-gs2wb,2024-04-16T17:01:41Z,1,❤❤❤,True
@mariceltecay958,2024-04-16T16:36:13Z,1,no hay que temer el me cuida con su poder me da vida 🙌,True
@felipe14095,2024-04-16T15:58:37Z,1,Dy,True
@thekkkuen,2024-04-16T15:51:28Z,1,A ver los que decían que no te hibas a salvar los que decían que vendiste tu alma a Satán son los de tu religión que hablan de eso no nosotros las religiones varían pero los que te apuntaban y te decían están a tu lado no nosotros que sabemos respetar pues ya te alejaste de nosotros y pues siempre nos gustó tu música desde el cartel pero se te respeta tu desicion de ya no estar con nosotros los mundanos que somos desde el inicio del cartel y que seguimos pero recuerda que te esperamos de regreso tus millones de fans mundanos te hemos dado millones que nos divertíamos  con tus canciones sanamente.,True
@isidoroquinteros4677,2024-04-16T15:40:58Z,0,IMBECIL,True
@lissettealfaromoya4033,2024-04-16T15:17:31Z,6,No me puede alegrar más la vida ver al “ídolo” de millones de personas alabar al Rey de reyes! Tengo mucha fe en que el testimonio de Daddy llegará a tantas personas que cambiarán su destino y seguirán a Cristo. Doy gracias a Dios por usar a este gran hombre para llevar su Santo Nombre al mundo entero. 🙌🏼,True
@Dioses4mor,2024-04-16T15:10:31Z,2,"Esta canción tiene una palabra clave "" Último avivamiento""",True
@user-tt2nn8kw5y,2024-04-16T14:56:42Z,1,😍😍😍😍,True
@carlosvasquez3455,2024-04-16T14:48:06Z,0,Cabrá está más loco,True
@elbennycantante,2024-04-16T14:01:11Z,1,Tu fe es grande como una montaña 😭😭😭,True
@agustinaprizzi6301,2024-04-16T11:33:36Z,1,Woww 🔥🔥🔥🔥🔥 impresionanteee,True
@JavierDiaz-fi9wm,2024-04-16T11:28:45Z,1,Dios te bendiga y te guarde en los huecos de su mano toda la gloria es del rey puro soldados de cristo yo también tengo de recien convertido gloria dios por tu vida sonarle al diablo dady yankee,True
@EvelynOtia,2024-04-16T10:07:50Z,0,"WORKING A NEW RHYME OF  WORDS IN VERSES CALLED FOREVER LIGHTS AND FOREVER LIFE'S ANGELS AND BEINGS BE RISING
 FOREVER LIGHTS AND FOREVER LIFE'S ANGELS AND BEINGS BE RISING WE NOT BE LIKE THE ANGELS OF RELIGIONS AND PAST HISTORY STORIES WE BE BAD ARSES ROLLING NOT TAKING ANY SHISH FROM ANY DEMONS OF THE MOON WORSHIPPING THERE IS NO GAMES TO BE PLAYING WITH US AND OUR FOREVER LIGHT AND FOREVER LIFE ENERGY  THERE BE NO COMPETITION IN COMPETING THE TRUTH OF FOREVER LIGHT AND FOREVER LIFE HAS BROKEN ALL THE CHAINS OF ALL THE MOONS BULLSHISH LIES AND DECEIT OF ALL THE MOONS SLAVERY  WE BE KILLING THEM WITH OUR FOREVER HEALING AND FOREVER POSITIVE ENERGY  OUR SPIRITUAL CROWNS BE SUPER DUPER WAY MORE POWERFUL THEN THEIR FOOLS GOLDEN ERA IRON THRONE OF THE TUDORS ROSES OF ROSE COLRED GLASES IN DELUSIONAL ILLUSIONS OF  IMAGERY OF LOND BRIDGES FOOLERY OUR CROWNS BE ON SUPER CHARGE OF ELECTRICAL ELECTROMAGNETIC ENERGY  WE KNOW THE TRUTH OF WHOM WE FOREVER AM AND FOREVER BE AS FOREVER LIGHTS AND FOREVER LIFE'S ANGELS AND BEINGS  WE KNOW THE TRUTH THAT WE FOREVER AM AND FOREVER BE THE FOREVER AUTHORS OF OUR OWN FOREVER LIFE STORIES FULL OF ALL THAT BE FOREVER POSITIVE GOOD IN FOREVER ALL FORMS OF FOREVER  ABUNDANCE AND FOREVER PROSPERITY  WE FOREVER CALLED BACK OUR FOREVER POWER OF FOREVER LIGHT AND FOREVER LIFE ENERGY NOW WE FOREVER AM AND FOREVER  BE BRINGING  OUR FOREVER LIGHT AND FOREVER LIFE STORIES TO FOREVER PHYSICAL LIFE IN THE FOREVER PHYSICAL PLAINS AS WE WRITE OUR OWN FOREVER LIFE STORY WE BE TAKING OVER THE ENTERTAINMENT INDUSTRY FACK THEIR EVIL MOFO DECEIT OF ROYALTIES IN  LIVING OFF OUR BACKS OF THE FRUITS OF OUR LABOR OF OUR WORK USING OUR GIFTS TALENTS AND SUPER POWER ABILITIES FACK THEIR EVIL SPEWAND THEIR SPELL CASTING  OF DESTRUCTION THEY BE SPEWING FACK THEIR MOON WORSHIPPING 440 HERTZ OF THE MAGNA CARTER CONTROLLING FREQUENCY",True
@EvelynOtia,2024-04-16T09:59:10Z,0,"WORKING A NEW RHYME OF  WORDS IN VERSES CALLED FOREVER LIGHTS AND FOREVER LIFE'S ANGELS AND BEINGS BE RISING
 FOREVER LIGHTS AND FOREVER LIFE'S ANGELS AND BEINGS BE RISING WE NOT BE LIKE THE ANGELS OF RELIGIONS AND PAST HISTORY STORIES WE BE BAD ARSES ROLLING NOT TAKING ANY SHISH FROM ANY DEMONS OF THE MOON WORSHIPPING THERE IS NO GAMES TO BE PLAYING WITH US AND OUR FOREVER LIGHT AND FOREVER LIFE ENERGY  THERE BE NO COMPETITION IN COMPETING THE TRUTH OF FOREVER LIGHT AND FOREVER LIFE HAS BROKEN ALL THE CHAINS OF ALL THE MOONS BULLSHISH LIES AND DECEIT OF ALL THE MOONS SLAVERY  WE BE KILLING THEM WITH OUR FOREVER HEALING AND FOREVER POSITIVE ENERGY  OUR SPIRITUAL CROWNS BE SUPER DUPER WAY MORE POWERFUL THEN THEIR FOOLS GOLDEN ERA IRON THRONE OF THE TUDORS ROSES OF ROSE COLRED GLASES IN DELUSIONAL ILLUSIONS OF  IMAGERY OF LOND BRIDGES FOOLERY OUR CROWNS BE ON SUPER CHARGE OF ELECTRICAL ELECTROMAGNETIC ENERGY  WE KNOW THE TRUTH OF WHOM WE FOREVER AM AND FOREVER BE AS FOREVER LIGHTS AND FOREVER LIFE'S ANGELS AND BEINGS  WE KNOW THE TRUTH THAT WE FOREVER AM AND FOREVER BE THE FOREVER AUTHORS OF OUR OWN FOREVER LIFE STORIES FULL OF ALL THAT BE FOREVER POSITIVE GOOD IN FOREVER ALL FORMS OF FOREVER  ABUNDANCE AND FOREVER PROSPERITY  WE FOREVER CALLED BACK OUR FOREVER POWER OF FOREVER LIGHT AND FOREVER LIFE ENERGY NOW WE FOREVER AM AND FOREVER  BE BRINGING  OUR FOREVER LIGHT AND FOREVER LIFE STORIES TO FOREVER PHYSICAL LIFE IN THE FOREVER PHYSICAL PLAINS AS WE WRITE OUR OWN FOREVER LIFE STORY",True
@Eiden-qw7hd,2024-04-16T08:27:52Z,2,Amooooo ❤️🤗,True
@user-xl6xt4nb4h,2024-04-16T07:13:07Z,2,La gracia de Dios - daddy yankee,True
@natavargasvila,2024-04-16T07:12:51Z,1,Daddy Yankee... Has tomado la mejor decisión de tu vida.,True
@El_papu_misterioso1234,2024-04-16T07:05:05Z,2,Siempre te voy a seguir sin importar que agas siempre todos te van  apoyar todos tus seguidores siempre fui tu fan número 1,True
@jeancareytv9225,2024-04-16T06:45:36Z,2,"Cuando estaba en el mundo eres mi ídolo  . Cuando me convertí me peso mucho dejar tu música 🎶 escuchaba solo las que no dijeras malas palabras poco a poco me aleje de todo lo mundano , y siempre decía ojalá y daddy yankee algún día se convierta y aga música cristiana ✝️ y mira todo se puede en cristo para el nada es imposible ❤ y el hace grandes artistas para que el impacto sea más grande ❤❤ Daddy Yankee Dios siempre estuvo ahí con tigo ❤ Doy gloria a Dios por tu vida y tu cambio siempre supe que eres inteligente!!!!! Bendiciones, ahora me siento libre de hablar de ti y escuchar  tu música cristiana sin remordimiento porque nos gozamos en cristo !!!!",True
