author,updated_at,like_count,text,public
@susanseawright4020,2024-04-07T00:58:23Z,1,I'm 70 love his music,True
@user-un9hq8xe7r,2024-04-06T23:07:45Z,1,❤️❤️❤️👌,True
@diegobenavides8529,2024-04-06T21:44:05Z,0,no e ombra,True
@cabellero1120,2024-04-06T12:08:07Z,0,""" I'd do anything to be cool to you!'

No worries, Bro, You're cool with Us!
👍😎🎶✌️😅",True
@arlenemartin7862,2024-04-06T08:25:27Z,1,I love you so very much ❤,True
@arlenemartin7862,2024-04-06T08:23:17Z,1,I love your voice ❤,True
@supersizehead,2024-04-06T07:59:50Z,0,❤‍🔥,True
@DeeneMuada,2024-04-06T05:31:27Z,0,Stop Smoking Cigarettes Post! Youre a Gem..,True
@arlenemartin7862,2024-04-06T00:32:42Z,1,Can you dance with me ❤,True
@sefamamu6983,2024-04-05T21:15:40Z,0,"god, i love this man so much",True
@jeanalsamman4698,2024-04-05T13:59:14Z,0,"Great amazing great awesome 😎 good for you your init to win it. I’m happy 😃

❤️‍🔥💯🎼🎶Austin , Post Malone , is a story teller, let me cheer it’s  pristine and stellar it gives me happiness right now,and it gives a memory later . Y’all

Your way today is inspiring music songs into American genre is epically moving for creativity making music and creative new songs

life’s up.,in melody 🎵 is exquisitely 🔥 lit.  🤩keep up the Elevate momentum",True
@anapauladarosalesses3906,2024-04-04T23:46:46Z,0,Desde 2019 POST Malone na veia❤❤,True
@cabellero1120,2024-04-04T16:41:31Z,0,"The first time i saw this video i cried like a kid!!

The lyrics hit so hard!
The next 2 videos are great, too!
Love Post Malone!!
👍😎😎🎶🎶✌️",True
@cabellero1120,2024-04-04T16:39:06Z,0,"I Love that "" tremble"" in his voice!
👍😎😅🎶💯✌️",True
@cabellero1120,2024-04-04T16:35:40Z,0,"This was 1 of the songs that made me a fan of Post Malone...
( there were others as well)

He's just so Raw and Organic!!
His music is like a punch to the gut
It's like a drug and you want more and more!

He's Incredible!!
Love his voice!",True
@hamiltonezequiel794,2024-04-04T05:04:47Z,0,Que excelente video porque no tiene tantas vistas está muy infravalorado 😢 #PostMalone,True
@Jitengpipet,2024-04-03T11:27:02Z,0,Love you❤,True
@AbigailOMeara,2024-04-02T20:44:53Z,0,Is it really you on here!??,True
@rynmcky6286,2024-04-02T08:21:16Z,0,All coked out 👊,True
@rynmcky6286,2024-04-02T08:20:00Z,0,Talent,True
@pameladundas4883,2024-04-02T04:38:02Z,0,More acoustic ❤,True
@arlenemartin7862,2024-04-02T02:27:06Z,2,Don't remove your tattoos  I love them❤,True
@k8dvs209,2024-04-01T20:02:12Z,0,Stop breaking my own heart,True
@littlemonster4297,2024-04-01T19:36:34Z,1,There’s nothing this incredible Legend can’t do!!!! I love you Posty!!! I’m so proud of YOU!!!!,True
@xyourafunny,2024-04-01T10:04:42Z,0,haaa haaaaaa haa haaaaa ne haaaaa,True
@abdellahhachem3087,2024-03-31T23:01:39Z,1,Post malone❤,True
@1996cheerleader,2024-03-31T20:13:00Z,1,something real:),True
@slinkysmurfette,2024-03-31T18:31:55Z,1,"Absolutely beautiful! And these songs here as usual you feel the music right along with him. So much heart and soul. One day they will remember P.M along with Jimi, Jim, Kurt, and many more fabulous artists. #Beautiful is all I can say. Mentally mesmerizing Music man",True
@MichelleGillette-xh6gg,2024-03-31T12:10:37Z,0,that tone! Holy shit,True
@MichelleGillette-xh6gg,2024-03-31T12:10:26Z,0,that tone! Holy shit,True
@adamadam2430,2024-03-31T06:29:35Z,0,P❤M.,True
@veracharles410,2024-03-31T03:54:09Z,0,Love you posty you do u ❤❤😘,True
@sunflowerlover7979,2024-03-31T01:43:17Z,0,Sexiest man alive! Lol 😍😍🥰🥰,True
@OkamiWSDwarrior,2024-03-30T20:57:43Z,1,His voice live is soooo good. I wanna see him again ❤🎉,True
@arlenemartin7862,2024-03-30T08:29:11Z,1,You can be cool to me I love ❤️ you.,True
@cabellero1120,2024-03-29T22:34:03Z,0,"I Dare you to watch Something Real segment and Not tear up!!

He's practically screaming for help ...and love

poor guy!
I Love his music, his voice!",True
